ВОР;ВОР_факт;ВОР_остаток;Ед_изм;%_выполнения_ВОР;Осталось_дней_прогноз;ЛОТ_ID;Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД
50000;;;м2;;;;0%;60 д;01.11.26;30.12.26;24.05.27;22.07.27;60 д;Расторжение Договора;"В связи с остановкой СМР компании ООО ""СВ"" и заменой последних на нового КА";6;СМР;35;769;25НН+17 д;94;НД;Утепление покрытий PIR 60 мм;;;5;
50000;;;м2;;;;0%;60 д;01.11.26;30.12.26;24.05.27;22.07.27;60 д;;;6;СМР;36;770;25НН+17 д;94;НД;Утепление покрытий плитами из минеральной ваты 50 мм;;;5;
50000;;;м2;;;;0%;60 д;01.11.26;30.12.26;24.05.27;22.07.27;60 д;;;6;СМР;37;771;25НН+17 д;94;НД;Устройство плоских однослойных кровель из пвх мембран ecoplast v-rp (1,2 мм) (со сваркой полотен) с укладкой разделительного слоя по утеплителю, с устройством примыканий;;;5;
50000;;;м2;;;;0%;60 д;01.11.26;30.12.26;24.05.27;22.07.27;60 д;;;6;СМР;38;772;25НН+17 д;94;НД;Система дождевой канализации (сифонно-вакуумная система внутреннего водостока) с врезкой в колодец;;;5;
50000;;;м2;;;;0%;15 д;09.01.27;23.01.27;01.02.27;15.02.27;15 д;;;6;;39;2416;27ОН-5 д;94;НД;Устройство кровли технических помещений;;;5;
;;;;;;;0%;40 д;13.12.26;21.01.27;05.07.27;13.08.27;40 д;;;5;СМР;40;773;25ОН-33 д;;НД;Внутренние лестницы;ЛОТ №9;;4;
;;;;;;;0%;60 д;12.01.27;12.03.27;04.08.27;02.10.27;60 д;;;4;СМР;41;775;;;НД;ПОДЪЕМНО-СЕКЦИОННЫЕ ВОРОТА, ДОКИ;ЛОТ №11;;4;
5;;;шт;;;;0%;60 д;12.01.27;12.03.27;04.08.27;02.10.27;60 д;Не передан фронт работ;"В связи с остановкой СМР компании ООО ""СВ"" и заменой последних на нового КА";5;СМР;42;776;29ОН-8 д;"44НН;45НН;46НН";НД;Устройство подъемных наружных секционных ворот (шхв) 2875х3000 мм ALUTECH (ProPlus);;;5;
5;;;шт;;;;0%;60 д;12.01.27;12.03.27;04.08.27;02.10.27;60 д;Не передан фронт работ;"В связи с остановкой СМР компании ООО ""СВ"" и заменой последних на нового КА";5;СМР;43;777;29ОН-8 д;94;01.07.26;Устройство подъемных наружных секционных ворот (шхв) 3560х4530 мм ALUTECH (ProPlus);;;5;
5;;;шт;;;;0%;60 д;12.01.27;12.03.27;04.08.27;02.10.27;60 д;Не передан фронт работ;"В связи с остановкой СМР компании ООО ""СВ"" и заменой последних на нового КА";5;СМР;44;778;42НН;94;НД;Уравнивающая перегрузочная платформа , докшелтер ALUTECH;;;5;
